grid_id,stationary,d,adf_stat,p_value
375,True,0,-7.2332,0.0000
600,True,0,-8.9228,0.0000
437,True,0,-9.5859,0.0000
427,True,0,-8.8834,0.0000
597,True,0,-9.8746,0.0000
469,True,0,-9.9458,0.0000
219,True,0,-9.2879,0.0000
408,True,0,-8.7878,0.0000
472,True,0,-8.9666,0.0000
302,True,0,-6.8612,0.0000
313,True,0,-6.9712,0.0000
568,True,0,-8.3895,0.0000
533,True,0,-10.2090,0.0000
250,True,0,-7.9855,0.0000
588,True,0,-8.5631,0.0000
536,True,0,-8.4745,0.0000
342,True,0,-8.3686,0.0000
299,True,0,-7.3323,0.0000
632,True,0,-8.4076,0.0000
440,True,0,-8.6904,0.0000
157,True,0,-9.1411,0.0000
206,True,0,-7.0078,0.0000
281,True,0,-7.4384,0.0000
603,True,0,-7.2778,0.0000
188,True,0,-8.8663,0.0000
404,True,0,-8.6368,0.0000
398,True,0,-8.4441,0.0000
651,True,0,-9.9063,0.0000
428,True,0,-8.0743,0.0000
556,True,0,-8.8681,0.0000
